EmpID,Employee,Department,City,Experience,Performance,Grade,Salary,Bonus,Sales_Q1,Sales_Q2,Total_Earnings,Net_Salary,Total_Sales,Bonus_Percentage,Final_Income
1001,Frank,Sales,Kochi,7,Excellent,A,71615,6608,77796,43313,78223,70400.7,121109,9.227117224045243,78223
1002,Priya,Marketing,Mumbai,9,Good,B,64573,5867,15416,16850,70440,63396.0,32266,9.085840831307204,70440
1003,Leo,Marketing,Bengaluru,2,Average,C,39497,5805,45499,20548,45302,40771.8,66047,14.697318783705091,45302
1004,Nina,Support,Mumbai,10,Excellent,B,58956,2558,58113,85798,61514,55362.6,143911,4.3388289571884116,61514
1005,Priya,Support,Delhi,11,Good,B,54146,2380,35291,26595,56526,50873.4,61886,4.3955232150112655,56526
1006,David,IT,Bengaluru,3,Average,B,66176,7618,67604,78531,73794,66414.6,146135,11.511726305609285,73794
1007,Eva,HR,Kochi,1,Excellent,B,60798,5848,24781,40870,66646,59981.4,65651,9.61873745846903,66646
1008,Grace,Support,Kochi,13,Good,A,79990,11515,24296,31053,91505,82354.5,55349,14.39554944368046,91505
1009,Sara,IT,Hyderabad,14,Average,B,55428,5294,59725,34156,60722,54649.8,93881,9.551129393086526,60722
1010,Sara,Sales,Chennai,6,Excellent,B,59577,10215,65564,56674,69792,62812.8,122238,17.145878443023314,69792
1011,Priya,Sales,Chennai,1,Good,A,84664,3528,35833,80013,88192,79372.8,115846,4.167060379854483,88192
1012,Alice,Sales,Delhi,9,Average,B,69280,10555,44102,89910,79835,71851.5,134012,15.23527713625866,79835
1013,Uma,Finance,Hyderabad,10,Excellent,C,37386,4960,37294,60640,42346,38111.4,97934,13.266998341625207,42346
1014,Karen,Finance,Hyderabad,15,Good,B,50094,6026,28536,37110,56120,50508.0,65646,12.029384756657484,56120
1015,Charlie,HR,Bengaluru,6,Average,C,40478,2601,83113,46660,43079,38771.1,129773,6.425712732842531,43079
1016,Nina,HR,Chennai,10,Excellent,C,30934,7678,79344,81339,38612,34750.8,160683,24.82058576323786,38612
1017,Maya,Support,Mumbai,15,Good,A,87419,6028,36272,88638,93447,84102.3,124910,6.895526144202062,93447
1018,Charlie,Sales,Bengaluru,13,Average,A,78589,9916,22527,52746,88505,79654.5,75273,12.61754189517617,88505
1019,Bob,Finance,Kochi,5,Excellent,C,32278,8873,47583,37364,41151,37035.9,84947,27.489311605427847,41151
1020,Maya,IT,Chennai,11,Good,A,88926,4393,34817,77779,93319,83987.1,112596,4.940062523896273,93319
1021,Bob,Finance,Mumbai,11,Average,B,64447,9849,18709,42799,74296,66866.4,61508,15.282325011249554,74296
1022,Leo,HR,Chennai,10,Excellent,A,80643,8980,78498,77501,89623,80660.7,155999,11.135498431357961,89623
1023,Jack,Human Resource,Hyderabad,10,Good,C,48086,4282,16341,65117,52368,47131.2,81458,8.904878758890321,52368
1024,Eva,Support,Delhi,5,Average,B,68907,7343,47737,70194,76250,68625.0,117931,10.65639194856836,76250
1025,Ian,Support,Bengaluru,13,Excellent,A,83225,4269,32503,33607,87494,78744.6,66110,5.1294683088014414,87494
1026,David,Sales,Delhi,3,Good,C,31659,9321,33458,24422,40980,36882.0,57880,29.44186487254809,40980
1027,David,Support,Chennai,3,Average,C,49924,10825,57503,66941,60749,54674.1,124444,21.682958096306386,60749
1028,Priya,HR,Hyderabad,3,Excellent,C,41899,5013,64520,41426,46912,42220.8,105946,11.964486025919472,46912
1029,Sara,IT,Hyderabad,12,Good,B,63087,2928,16025,65809,66015,59413.5,81834,4.641209757953303,66015
1030,Oscar,IT,Bengaluru,13,Average,B,67155,4872,45581,48148,72027,64824.3,93729,7.254858163949073,72027
1031,Uma,Finance,Kochi,1,Excellent,C,46037,8371,35469,55555,54408,48967.2,91024,18.183200469187828,54408
1032,Jack,Marketing,Hyderabad,8,Good,B,67551,3614,86489,22871,71165,64048.5,109360,5.350031827804178,71165
1033,Rahul,Marketing,Kochi,6,Average,B,63872,7081,53223,83915,70953,63857.7,137138,11.08623496993988,70953
1034,Sara,HR,Delhi,10,Excellent,A,83391,7336,41387,61560,90727,81654.3,102947,8.797112398220431,90727
1035,Charlie,Finance,Kochi,7,Good,C,37052,3246,24611,73727,40298,36268.2,98338,8.760660693079995,40298
1036,Rahul,Marketing,Delhi,11,Average,A,72247,9252,76719,82820,81499,73349.1,159539,12.806068072030671,81499
1037,Rahul,Sales,Bengaluru,2,Excellent,C,44777,2408,21398,71874,47185,42466.5,93272,5.377760904035554,47185
1038,Bob,HR,Chennai,12,Good,B,68627,8628,70973,74767,77255,69529.5,145740,12.572311189473531,77255
1039,Helen,Sales,Bengaluru,6,Average,B,61901,5732,26194,19906,67633,60869.7,46100,9.259947335261142,67633
1040,Priya,HR,Bengaluru,6,Excellent,A,77000,11905,43299,73948,88905,80014.5,117247,15.46103896103896,88905
