EmployeeID,Name,Department,Salary,Joining_Date
101,Anu,IT,55000,26-07-2026
102,Rahul,HR,40000,24-11-2025
103,Diya,Finance,48000,20-08-2019
104,Arjun,IT,62000,12-06-2018
105,Meera,Sales,45000,25-01-2022
106,Vishnu,HR,38000,05-11-2020
107,Sarah,Finance,52000,18-09-2017
108,Neha,IT,70000,30-04-2016
109,Adam,Sales,42000,11-07-2021
110,Rhea,Marketing,50000,01-12-2019
111,Karan,IT,58000,14-02-2023
112,Maya,Finance,47000,09-12-2024
113,Mira,Sales,60000,17-07-2023
114,Tina,HR,43000,13-08-2022
115,Dev,Marketing,55000,08-03-2021
