EmpID,Employee,City,Age,Salary,Designation,Experience,Manager,Project _ID,Project,Department
1001,David,Hyderabad,32.0,77414,Accountant,6,Hoseok,100,Payroll,Finance
1002,Helen,Hyderabad,32.0,62565,Marketing Manager,5,Draco,101,Campaign,Marketing
1003,Sara,Bengaluru,,85664,Support Engineer,3,Umi,102,Customer Support,Support
1004,Oscar,Delhi,32.0,40290,HR Executive,3,Mira,103,Recruitment,HR
1005,Jack,Bengaluru,24.0,88396,Software Engineer,4,Adrienne,104,Website,IT
1006,Priya,Chennai,26.0,75000,Support Engineer,3,Umi,105,Customer Support,Support
1007,Leo,Bengaluru,35.0,68658,Accountant,6,Hoseok,106,Payroll,Finance
1008,Charlie,Chennai,24.0,71533,Software Engineer,4,Adrienne,107,Website,it
1009,Jack,Bengaluru,26.0,77257,Accountant,6,Hoseok,108,Payroll,Finance
1010,Tom,Delhi,,81587,Accountant,6,Hoseok,109,Payroll,Finance
1011,Leo,Delhi,24.0,61134,Sales Executive,4,Ken,110,Sales Analysis,Sales
1012,Sara,Delhi,30.0,68184,Sales Executive,4,Ken,111,Sales Analysis,Sales
1013,Priya,Hyderabad,28.0,62522,Sales Executive,4,Ken,112,Sales Analysis,Sales
1014,Priya,Hyderabad,,36663,Marketing Manager,5,Draco,113,Campaign,Marketing
1015,Helen,Bombay,35.0,69289,HR Executive,3,Mira,114,Recruitment,HR
1016,David,Hyderabad,30.0,65804,Support Engineer,3,Umi,115,Customer Support,Support
1017,Priya,Delhi,35.0,80921,HR Executive,3,Mira,116,Recruitment,HR
1018,Priya,Hyderabad,28.0,71686,Support Engineer,3,Umi,117,Customer Support,Support
1019,Jack,Kochi,32.0,80765,Marketing Manager,5,Draco,118,Campaign,Marketing
1020,Maya,Mumbai,28.0,89515,Sales Executive,4,Ken,119,Sales Analysis,Sales
1021,Alice,Mumbai,35.0,74142,Software Engineer,4,Adrienne,120,Website,IT
1022,Rahul,Chennai,26.0,52046,Sales Executive,4,Ken,121,Sales Analysis,Sales
1023,Priya,Hyderabad,,89144,HR Executive,3,Mira,122,Recruitment,Human Resource
1024,Nina,Kochi,24.0,89486,Marketing Manager,5,Draco,123,Campaign,Marketing
1025,Karen,Delhi,30.0,80176,Sales Executive,4,Ken,124,Sales Analysis,Sales
1026,Rahul,Bengaluru,26.0,62903,Accountant,6,Hoseok,125,Payroll,Finance
1027,Priya,Kochi,28.0,67664,Software Engineer,4,Adrienne,126,Website,IT
1028,David,Kochi,,61955,HR Executive,3,Mira,127,Recruitment,HR
1029,Oscar,Delhi,24.0,64571,Software Engineer,4,Adrienne,128,Website,IT
1030,Sara,Hyderabad,,48028,Software Engineer,4,Adrienne,129,Website,IT
1031,David,Delhi,,70812,Marketing Manager,5,Draco,130,Campaign,Marketing
1032,Leo,Delhi,28.0,78554,HR Executive,3,Mira,131,Recruitment,HR
1033,Tom,Kochi,35.0,43838,Sales Executive,4,Ken,132,Sales Analysis,Sales
1034,Helen,Hyderabad,26.0,74199,Sales Executive,4,Ken,133,Sales Analysis,Sales
1035,Rahul,Delhi,30.0,78814,Accountant,6,Hoseok,134,Payroll,Finance
1036,Eva,Chennai,32.0,62003,Marketing Manager,5,Draco,135,Campaign,Marketing
1037,Eva,Mumbai,30.0,35926,Marketing Manager,5,Draco,136,Campaign,Marketing
1038,Maya,Delhi,,57742,Software Engineer,4,Adrienne,137,Website,IT
1039,Leo,Delhi,32.0,66196,Software Engineer,4,Adrienne,138,Website,IT
1040,Jack,Chennai,24.0,67608,Sales Executive,4,Ken,139,Sales Analysis,Sales
1041,Tom,Mumbai,26.0,73748,Marketing Manager,5,Draco,140,Campaign,Marketing
1042,Grace,Hyderabad,28.0,65069,Sales Executive,4,Ken,141,Sales Analysis,Sales
1043,Helen,Kochi,24.0,70871,Support Engineer,3,Umi,142,Customer Support,Support
1044,Bob,Kochi,26.0,37964,HR Executive,3,Mira,143,Recruitment,HR
1045,Sara,Bengaluru,,84460,Software Engineer,4,Adrienne,144,Website,IT
1046,Grace,Kochi,35.0,36341,Sales Executive,4,Ken,145,Sales Analysis,Sales
1047,Rahul,Hyderabad,26.0,45511,HR Executive,3,Mira,146,Recruitment,HR
1048,Frank,Chennai,30.0,69931,Sales Executive,4,Ken,147,Sales Analysis,Sales
1049,Charlie,Chennai,26.0,57548,Sales Executive,4,Ken,148,Sales Analysis,Sales
1050,Ian,Bengaluru,,88411,Sales Executive,4,Ken,149,Sales Analysis,Sales
