EmpID,Employee,Department,City,Age,Experience,Salary,Bonus,Sales_Q1,Sales_Q2,TotalIncome,Updated_Bonus,AnnualSalary,TotalSales
1001,Bob,Finance,Delhi,35,9,72000,4625,64692,85281,76625,2887.5,840000,149973
1002,Sara,Finance,Chennai,23,6,74000,9524,88526,58751,83524,8276.4,864000,147277
1003,Helen,HR,Delhi,35,3,70000,13791,64492,24158,83791,12970.1,816000,88650
1004,Alice,Finance,Kochi,36,4,77000,4719,27158,33635,81719,2990.9,900000,60793
1005,Eva,IT,Chennai,35,16,73000,11688,19816,54989,84688,10656.8,852000,74805
1006,Karen,Marketing,Bengaluru,30,17,69015,9165,16644,67197,78180,7881.5,804180,83841
1007,Rahul,Sales,Kochi,39,16,66118,10873,64089,81855,76991,9760.3,769416,145944
1008,Bob,Support,Mumbai,45,3,91876,11977,49326,37298,103853,10974.7,1078512,86624
1009,Karen,Finance,Hyderabad,34,3,79389,11483,65810,59054,90872,10431.3,928668,124864
1010,Alice,HR,Hyderabad,24,12,32840,9765,45032,68178,42605,8541.5,370080,113210
1011,Sara,Marketing,Kochi,23,10,64425,7823,86325,78414,72248,6405.3,749100,164739
1012,Frank,HR,Hyderabad,36,13,81260,11557,20784,16330,92817,10512.7,951120,37114
1013,Eva,it,Mumbai,22,9,84355,9767,50642,71920,94122,8543.7,988260,122562
1014,Nina,IT,Delhi,41,3,65444,9817,26637,25866,75261,8598.7,761328,52503
1015,Nina,IT,Hyderabad,34,3,67820,10622,18819,57265,78442,9484.2,789840,76084
1016,Ian,Sales,Delhi,39,11,59136,9707,18118,36477,68843,8477.7,685632,54595
1017,Nina,IT,Kochi,43,5,56386,7849,25272,22491,64235,6433.9,652632,47763
1018,Rahul,Sales,Hyderabad,31,5,91881,8770,66020,63298,100651,7447.0,1078572,129318
1019,Eva,Marketing,Bombay,38,4,73262,6732,65626,71646,79994,5205.2,855144,137272
1020,Bob,Support,Mumbai,36,1,54907,11368,74132,54820,66275,10304.8,634884,128952
1021,Nina,IT,Mumbai,38,11,89107,12467,82465,87951,101574,11513.7,1045284,170416
1022,Eva,Finance,Hyderabad,25,18,79600,10045,44478,89735,89645,8849.5,931200,134213
1023,Karen,IT,Chennai,38,8,45321,9276,49674,67188,54597,8003.6,519852,116862
1024,Bob,Marketing,Delhi,28,17,45074,4281,40449,50160,49355,2509.1,516888,90609
1025,Tom,HR,Delhi,41,11,37488,9589,87683,85475,47077,8347.9,425856,173158
1026,Eva,Marketing,Mumbai,37,16,79878,10526,18699,48666,90404,9378.6,934536,67365
1027,Tom,Sales,Chennai,34,8,87072,12212,31528,15781,99284,11233.2,1020864,47309
1028,Uma,Marketing,Bengaluru,32,4,77303,7000,62270,75392,84303,5500.0,903636,137662
1029,Leo,Support,Bengaluru,32,12,46194,11357,59962,40227,57551,10292.7,530328,100189
1030,Frank,Sales,Delhi,35,13,64799,8349,37921,88273,73148,6983.9,753588,126194
1031,Maya,Finance,Delhi,31,4,91520,8348,80906,57235,99868,6982.8,1074240,138141
1032,Bob,Sales,Delhi,40,13,51563,5760,76020,57558,57323,4136.0,594756,133578
1033,Helen,Support,Bengaluru,30,15,68881,13363,60095,47560,82244,12499.3,802572,107655
1034,Oscar,Marketing,Hyderabad,30,11,35196,6985,31166,17609,42181,5483.5,398352,48775
